"official","lat","long"
13.7,0,0
16.8,0,0
11.2,0,0
18.1,0,0
16.8,0,0
14.5,0,0
10.2,0,0
9.2,0,0
11.2,0,0
17.3,0,0
15.2,0,0
16.8,0,0
10.3,0,0
11.9,0,0
12.2,0,0
13.3,0,0
10.1,0,0
12.5,0,0
18.2,0,0
20.6,0,0
13.2,0,0
8.9,0,0
11.6,0,0
12.9,0,0
8.2,0,0
20.8,0,0
11.1,0,0
11.9,0,0
10.6,0,0
13.3,0,0
6.9,0,0
10.7,0,0
19.2,0,0
13.4,0,0
15.3,0,0
10.5,0,0
14.3,0,0
15.3,0,0
12.7,0,0
12,0,0
11.5,0,0
14.9,0,0
13.7,0,0
15.7,0,0
14.9,0,0
9.4,0,0
9.9,0,0
10.8,0,0
11.5,0,0
17.7,0,0
11,0,0
10.1,0,0
